PUE,WUE,Case,Climate Zone,Cooling system (Original),Cooling system,Data center size,type,Case (Original)
1.1808828,0.2452964186668396,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.178115,0.2937041223049164,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1725763,0.3230423033237457,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1518462,0.0881595686078071,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0756061,0.3461466133594513,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0556065,0.125849187374115,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1181871,0.2782875299453735,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1723286,0.2149603366851806,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1383038,0.1738254874944687,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1447271,0.2424498945474624,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.161066,0.0263030156493186,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.183795,0.6243029236793518,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1145362,0.2360625565052032,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0907872,0.1889152973890304,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1767337,0.3982104957103729,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0928183,0.1338440179824829,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.128418,0.2105026096105575,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1421291,0.2692386209964752,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1541694,0.2296343892812729,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1540549,0.2553613781929016,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0756958,0.3154583573341369,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1147184,0.2381146401166916,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0922801,0.5978966951370239,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0529152,0.3128276467323303,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.1269935,0.5841624140739441,1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,1
1.0742311,2.244014024734497,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1397071,1.9624184370040891,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.0741984,2.108716487884521,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1298155,2.44205093383789,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.1435925,2.4654831886291504,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
1.119255,2.194958209991455,2,7,Waterside economizer& (water-cooled chiller),Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,2
